구,주소,상호,휘발유,경유
수영구,부산 수영구 과정로 23,신영주유소,1574.0,1434.0
수영구,부산 수영구 민락본동로 30,센텀타이거주유소,1578.0,1458.0
수영구,부산 수영구 수영로 731,대양산업(주)대영주유소,1583.0,1494.0
수영구,부산 수영구 연수로 250,지에스칼텍스㈜ 인성셀프주유소,1624.0,1494.0
수영구,부산 수영구  연수로 254 (망미동),땡큐망미주유소,1624.0,1494.0
수영구,부산 수영구 수영로 491 (남천동),금련산주유소,1675.0,1555.0
수영구,부산 수영구 수영로 558,지에스칼텍스(주)부산주유소,1685.0,1539.0
수영구,부산 수영구 연수로 239,지에스칼텍스(주) 언덕주유소,1689.0,1569.0
수영구,부산 수영구 연수로 411,SK에너지(주)강일주유소,1798.0,1698.0
수영구,부산 수영구 좌수영로 147 (망미동),(주)청유주유소,1798.0,1648.0
수영구,"부산 수영구 과정로 4,  (망미동)",금호주유소,1799.0,1649.0
연제구,부산 연제구 반송로 68,하얀100연산주유소,1549.0,1399.0
연제구,부산 연제구  거제대로 130 (거제동),아시아드주유소,1559.0,1419.0
연제구,부산 연제구 고분로 51 (연산동),(주)좋은기름나라연산주유소지점,1565.0,1425.0
연제구,부산 연제구 중앙대로 1179,현대오일뱅크㈜직영 연산셀프주유소,1568.0,1429.0
연제구,부산 연제구 연안로 20,연안로주유소,1574.0,1434.0
연제구,부산 연제구 월드컵대로 249 (거제동),성학주유소,1588.0,1454.0
연제구,부산 연제구 과정로 325,자이주유소,1599.0,1459.0
연제구,부산 연제구 거제대로 98,광동페트로㈜ 감사드림주유소,1624.0,1494.0
연제구,부산 연제구 과정로 208,광신홀딩스㈜ 직영 토곡주유소,1624.0,1494.0
연제구,부산 연제구 과정로 134 (연산동),금천셀프주유소,1645.0,1545.0
연제구,부산 연제구 아시아드대로 107 (거제동),현대오일뱅크(주)직영 부산현대주유소,1669.0,1535.0
연제구,부산 연제구 온천천남로 86 (연산동),영웅주유소,1699.0,1549.0
연제구,부산 연제구 연수로 87,연제주유소,1719.0,1579.0
연제구,부산 연제구 과정로 120 (연산동),SK에너지(주)부흥셀프주유소,1798.0,1598.0
영도구,부산 영도구 해양로 270,해양특구주유소,1692.0,1572.0
영도구,부산 영도구 해양로 212,동현주유소,1692.0,1572.0
영도구,부산 영도구 태종로 806-1,태종대온천주유소,1697.0,1577.0
영도구,부산 영도구 태종로 376 (청학동),태종에너지청학주유소,1698.0,1578.0
영도구,부산 영도구 해양로 128 (청학동),세기상사㈜ 대성주유소,1698.0,1578.0
영도구,부산 영도구 태종로 290 (청학동),SK에너지(주)직영 태종로주유소,1698.0,1578.0
영도구,부산 영도구 남항서로 96(남항동2가),남항주유소,1833.0,1723.0
영도구,부산 영도구 태종로 181 (봉래동4가),(주)나부코직영 우원주유소,1848.0,1738.0
중구,부산 중구 대청로 153 (중앙동5가),고려주유소,1695.0,1565.0
해운대구,부산 해운대구 해운대로 1249 (송정동),삼양주유소,1519.0,1374.0
해운대구,부산 해운대구 해운대로 1184,㈜영원석유 하늘주유소,1519.0,1394.0
해운대구,부산 해운대구 해운대로 1178,㈜영원석유 영원주유소,1519.0,1374.0
해운대구,부산 해운대구 해운대로 1226 (송정동),오시리아주유소,1519.0,1374.0
해운대구,부산 해운대구 해운대로 1217,송정역주유소,1519.0,1374.0
해운대구,부산 해운대구 해운대로 1238 (송정동),한양 브라보주유소,1535.0,1395.0
해운대구,부산 해운대구 해운대로 551 (우동),(주)조은하루주유소,1554.0,1414.0
해운대구,부산 해운대구 해운대로 592 (우동),동방석유㈜ 직영 해변주유소,1554.0,1414.0
해운대구,부산 해운대구 해운대로 211 (재송동),대양산업(주)동화주유소,1554.0,1414.0
해운대구,부산 해운대구 반송로 875 (반송동),동부산셀프주유소,1562.0,1412.0
해운대구,부산 해운대구 반송로 780,반송제일주유소,1562.0,1412.0
해운대구,부산 해운대구 해운대로 285 (우동),구도일주유소 센텀시티,1569.0,1436.0
해운대구,부산 해운대구 반송로 782,양천석유(주)덕진셀프주유소반송점,1574.0,1438.0
해운대구,부산 해운대구 해운대로 615 (우동),지에스칼텍스(주)해운주유소,1574.0,1509.0
해운대구,부산 해운대구 수영강변대로 568,광신석유(주)직영 수영강변대로주유소,1584.0,1459.0
해운대구,부산 해운대구 수영강변대로 590,지에스칼텍스(주)광안대로주유소,1584.0,1459.0
해운대구,부산 해운대구 반여로 153 (반여동),신촌셀프주유소,1584.0,1459.0
해운대구,부산광역시 해운대구  수영강변대로 504 (반여동),sc(주)센텀주유소,1584.0,1459.0
해운대구,부산 해운대구 좌동순환로 419 (중동),(주)이엠석유 대흥주유소,1594.0,1474.0
해운대구,부산 해운대구 재반로 163 (재송동),동해주유소,1594.0,1469.0
해운대구,부산 해운대구 해운대로 179 (재송동),HD현대오일뱅크㈜직영 센텀셀프주유소,1594.0,1569.0
해운대구,부산 해운대구 달맞이길 57 (중동),(주)대양씨앤씨 달맞이주유소,1594.0,1474.0
해운대구,부산 해운대구 해운대로573번길 16,SK에너지(주) 돌고래주유소,1598.0,1438.0
해운대구,부산 해운대구 대천로 82 (좌동),SK에너지(주)신도시주유소,1598.0,1488.0
해운대구,부산 해운대구 해운대로 345 (우동),SK에너지(주) 마리나주유소,1598.0,1438.0
해운대구,부산 해운대구 해운대로 1075,SK에너지㈜직영 송정셀프주유소,1598.0,1498.0
해운대구,부산 해운대구 좌동순환로 375,해운대주유소,1633.0,1513.0
해운대구,부산 해운대구 양운로 107 (좌동),HD현대오일뱅크㈜직영 장산IC주유소,1649.0,1539.0
해운대구,부산 해운대구 수영강변대로 276,SK에너지(주)직영 해운대센텀주유소,1649.0,1549.0
해운대구,부산 해운대구 해운대해변로 44 (우동),에스씨(주) 마리나타운주유소,1698.0,1598.0
해운대구,부산 해운대구 반송로 781 (석대동),동양가스(주) 명품주유소반송점,1709.0,1579.0
금정구,부산 금정구 반송로 420 (금사동),한길주유소 금사점 한솔유화㈜,1549.0,1419.0
금정구,부산 금정구 두실로 2,훼미리알뜰주유소,1575.0,1437.0
금정구,부산 금정구 중앙대로 2130,청룡명품주유소,1575.0,1437.0
금정구,부산 금정구 중앙대로 2191 (노포동),은마석유 노포주유소,1575.0,1437.0
금정구,부산광역시 금정구  부곡로 67 (부곡동),금두꺼비주유소,1587.0,1457.0
금정구,부산 금정구 중앙대로 1972,금강주유소,1589.0,1455.0
금정구,부산 금정구 중앙대로 1646,한길주유소 부산점 한솔유화㈜,1597.0,1467.0
금정구,부산 금정구 금강로 721,신화주유소,1618.0,1488.0
금정구,"부산 금정구 금정로 216,  (구서동)",동진주유소,1619.0,1479.0
금정구,부산 금정구 반송로 364 (서동),에이원주유소,1625.0,1395.0
금정구,부산 금정구 중앙대로 1597,비케이원㈜ 대박드림주유소,1629.0,1499.0
금정구,부산 금정구 금샘로 399 (구서동),금정산주유소,1637.0,1497.0
금정구,부산 금정구 금샘로 21 (장전동),식물원주유소,1685.0,1565.0
금정구,부산 금정구  반송로 391 (서동),동양주유소,1687.0,1567.0
금정구,부산 금정구 반송로 463 (금사동),새석대주유소,1697.0,1577.0
금정구,부산 금정구 중앙대로 2044 (남산동),남산주유소,1698.0,1568.0
금정구,부산 금정구 중앙대로 1782 (부곡동),지에스칼텍스(주)영풍주유소,1709.0,1579.0
기장군,부산 기장군 기장읍 기장대로 343,기장대로 셀프주유소 와이케이에너지㈜,1519.0,1374.0
기장군,부산광역시 기장군 일광면 기장대로 996,신아시아드주유소/충전소 은마석유㈜,1519.0,1374.0
기장군,부산 기장군 기장읍 기장대로 84,내리주유소,1529.0,1395.0
기장군,부산 기장군 일광면 기장대로 1230,월드컵주유소,1539.0,1394.0
기장군,부산 기장군 일광면 기장대로 1195,세방주유소,1549.0,1415.0
기장군,부산 기장군 일광면 기장대로 677,삼성셀프주유소,1565.0,1435.0
기장군,부산 기장군 장안읍 기장대로 1453,선암주유소,1565.0,1455.0
기장군,부산 기장군 기장읍 차성로 241,(주)동광주유소,1565.0,1414.0
기장군,부산 기장군 정관면 정관로 835,공단신도시주유소,1565.0,1465.0
기장군,부산 기장군 일광면 기장대로 710,용문주유소,1565.0,1435.0
기장군,부산 기장군 기장읍 반송로 1517,하영주유소,1565.0,1435.0
기장군,부산 기장군 일광면 기장대로 670,기장IC주유소,1565.0,1435.0
기장군,부산 기장군 기장읍 반송로 1407,부경셀프주유소,1565.0,1415.0
기장군,부산 기장군 일광면 기장대로 1291,국제주유소,1569.0,1449.0
기장군,부산 기장군 기장읍 반송로 1653,삼거리주유소,1569.0,1439.0
기장군,부산 기장군 정관면 정관로 249,대영주유소,1578.0,1454.0
기장군,부산 기장군 정관면 정관로 787,기분조은주유소,1580.0,1465.0
기장군,부산 기장군 장안읍 정관로 1148,㈜첼시주유소,1580.0,1465.0
기장군,부산 기장군 정관면 정관로 901,정관신도시주유소/충전소,1580.0,1465.0
기장군,부산 기장군 정관면 정관로 779,백운1주유소,1580.0,1478.0
기장군,부산 기장군 신정관로 183,(주)천일에너지 천일주유소,1580.0,1465.0
기장군,부산 기장군 장안읍 정관로 1115,달음산주유소,1580.0,1465.0
기장군,부산 기장군 장안읍 좌동길 47,의학원self주유소,1580.0,1465.0
기장군,부산 기장군 일광면 기장대로 1037,동부산농협클린주유소,1584.0,1434.0
기장군,부산 기장군 장안읍 좌동길 45,뉴장안IC주유소,1585.0,1465.0
기장군,부산 기장군 일광면 일광로 722,오성주유소,1593.0,1453.0
기장군,부산 기장군 장안읍 기장대로 1586,장안IC(상)주유소,1598.0,1488.0
기장군,부산 기장군 철마면 반송로 1300,안평주유소,1598.0,1478.0
